Course ID,Section,Date,Professor,Professor Score,Difficulty
BIOS 23266,1,Autumn 2019,Christine Andrews,N/A,N/A
SOSC 23100,1,Spring 2016,Rochona Majumdar,4.9343410917250400,5.10
SOSC 23100,1,Spring 2017,Dipesh Chakrabarty,9.575555555555560,6.24
SOSC 23100,1,Spring 2020,Dipesh Chakrabarty,7.988695686302490,N/A
TAPS 20700,1,Winter 2016,Derek Todd Matson,8.986990294615410,6.80
TAPS 20700,1,Winter 2017,Derek Todd Matson,4.132661209546510,9.67
TAPS 20700,1,Winter 2020,Derek Todd Matson,9.569,N/A
TAPS 20700,1,Winter 2021,Derek Todd Matson,8.61905854315615,N/A
PBPL 26304,1,Autumn 2020,Charles (Chad) Broughton,9.906,N/A
PBPL 26304,1,Winter 2021,Charles (Chad) Broughton,6.015729277998410,N/A
BIOS 29271,1,Autumn 2020,Gregory Norman,7.574236214220290,N/A
BIOS 29271,1,Autumn 2019,Gregory Norman,9.659,N/A
BIOS 23410,1,Spring 2020,Thorsten Lumbsch,N/A,N/A
BIOS 28102,1,Winter 2020,"Sara Serritella, Angelika Zissimopoulos",N/A,N/A
ENGL 12320,1,Autumn 2019,"Patrick Jagoda,Ashlyn Sparrow",9.772,N/A
CMST 27920,1,Autumn 2019,Marc Downie,9.766,N/A
BIOS 25256,1,Autumn 2019,Albert Bendelac,N/A,N/A
JAPN 20401,1,Autumn 2020,Misa Miyachi,9.466,N/A
JAPN 20401,1,Autumn 2019,Misa Miyachi,6.835586347252530,N/A
JAPN 20401,1,Autumn 2016,Harumi Lory,9.5,7.67
JAPN 20401,1,Autumn 2017,Harumi Lory,9.4,9.50
JAPN 20401,1,Autumn 2014,Harumi Lory,9.7,5.60
JAPN 20401,1,Autumn 2015,Harumi Lory,7.58,4.67
LACS 21100,1,Spring 2016,Maria Lozada Cerna,8.512613028830150,6.83
LACS 21100,1,Winter 2015,Lidwina Van Den Hout,7.601375802490730,5.75
LACS 21100,1,Winter 2016,Lidwina Van Den Hout,7.856599625443600,5.45
LACS 21100,1,Spring 2017,Maria Lozada Cerna,6.073044448816700,6.63
LACS 21100,1,Winter 2017,Lidwina Van Den Hout,9.936666666666670,6.19
LACS 21100,1,Winter 2020,Lidwina Van Den Hout,5.558260899664070,N/A
LACS 21100,1,Spring 2020,Begona Arechabaleta Regulez,5.605639274497370,N/A
LACS 21100,1,Winter 2021,Lidwina Van Den Hout,7.225950782997760,N/A
LACS 21100,2,Winter 2020,Felipe Pieras-Guasp,9.669421186483910,N/A
LACS 21100,2,Winter 2021,Felipe Pieras-Guasp,7.40057165759424,N/A
LING 23850,1,Winter 2021,Jessica Kantarovich,9.75,N/A
CRES 25218,1,Winter 2021,Christopher Kindell,9.78,N/A
MENG 24400,1,Winter 2020,Mustafa Guler,9.783,N/A
BIOS 28407,1,Spring 2020,"Yoav Gilad, Yang Li, Sebastian Pott",N/A,N/A
NEHC 20600,1,Spring 2020,Richard Payne,9.96,N/A
TAML 10200,1,Winter 2016,E. Annamalai,9.335,2.50
TAML 10200,1,Winter 2015,E. Annamalai,9.33,4.00
STAT 24410,1,Autumn 2015,Michael L Stein,5.3904942929437700,11.65
STAT 24410,1,Autumn 2016,Michael L Stein,6.831434259440920,10.44
STAT 24410,1,Autumn 2019,Daniel Sanz-Alonso,9.689,N/A
STAT 24410,1,Autumn 2017,Zheng Ke,5.395537655504080,8.78
SOCI 20104,1,Winter 2015,Forrest Stuart,5.936058166785000,6.70
SOCI 20104,1,Autumn 2016,Forrest Stuart,9.41888888888889,6.21
SOCI 20104,1,Spring 2020,Marco Garrido,6.441648518128360,N/A
MATH 19620,2,Autumn 2015,Jingren Chi,4.946863632432480,6.50
MATH 19620,2,Spring 2020,Seyed Zoalroshd,6.62593163620566,N/A
MATH 19620,2,Winter 2015,Hyomin Choi,4.877129515097760,4.63
MATH 19620,3,Autumn 2014,Keerthi Shyam Madapusi Sampath,9.492907683736500,5.10
MATH 19620,3,Autumn 2015,Simion Filip,7.9089826385327200,7.62
MATH 19620,3,Spring 2016,Simion Filip,4.750068494528280,6.33
MATH 19620,3,Autumn 2016,Chang Mou Lim,5.335467393949630,7.00
MATH 19620,3,Winter 2015,Wouter van Limbeek,4.214923470362620,5.36
MATH 19620,4,Spring 2020,Seyed Zoalroshd,6.302171241348930,N/A
MATH 19620,5,Autumn 2014,Casey Rodriguez,9.706666666666670,4.91
MATH 19620,5,Autumn 2015,Zev Chonoles,8.96216956996579,6.00
MATH 19620,5,Autumn 2017,Wei Chai,6.864385097939830,5.83
MATH 19620,5,Spring 2015,Quoc Ho,4.621014917748240,5.83
MATH 19620,5,Spring 2015,Hyomin Choi,5.126223961318840,6.29
MATH 19620,5,Winter 2016,Henry Scher,4.049494109933160,7.20
MATH 19620,5,Winter 2018,Giang Tran,9.05594110335423,6.64
MATH 19620,5,Winter 2015,Michael Smith,6.496915684653650,4.56
MATH 19620,5,Winter 2016,Quoc Ho,3.523988471277750,6.40
MATH 19620,5,Winter 2016,Michael Smith,4.00248120951019,4.25
MATH 19620,5,Winter 2017,Henry Scher,5.625132151900770,6.33
MATH 19620,9,(2206) Summer 2020,Seyed Zoalroshd,1.9137638703682500,N/A
MATH 15200,1,Autumn 2015,Angela Wuu,6.070346657118680,7.82
MATH 15200,1,Winter 2018,Benjamin O'Connor,7.798814259054310,4.53
MATH 15200,1,Autumn 2017,Carlos di Fiore,4.913485884165530,3.31
MATH 15200,2,Winter 2015,Weiyan Chen,5.218219028709070,5.70
MATH 15200,2,Winter 2016,Carlos di Fiore,5.1520380075081900,5.00
MATH 15200,2,Winter 2017,Paul Apisa,5.988432285224490,9.00
MATH 15200,2,Winter 2015,Raluca Havarneanu,5.783266605906730,5.90
MATH 15200,2,Winter 2018,Anthony Chaves Aguilar,7.9196785691035700,5.68
MATH 15200,2,Winter 2015,Jingren Chi,3.826779886292130,5.50
MATH 15200,2,Autumn 2014,Preston Wake,5.226105234034240,7.80
MATH 15200,2,Autumn 2014,Tianqi Fan,3.8522201788078000,5.80
MATH 15200,2,Autumn 2017,Anthony Wang,5.802422531085220,5.06
MATH 15200,3,Winter 2015,Wei Chai,4.189496452053900,2.67
MATH 15200,3,Winter 2016,Jonathan Rubin,5.926978495323660,4.71
MATH 15200,3,Winter 2016,Daniel Campos Salas,5.504793578977060,4.89
MATH 15200,3,Winter 2015,Daniel Le,5.276261582362260,5.38
MATH 15200,3,Winter 2017,Francisc Bozgan,5.735083436408220,4.72
MATH 15200,3,Autumn 2015,Teruhisa Koshikawa,3.8740229585747500,3.40
MATH 15200,3,Autumn 2016,Georgios Sakellaris,4.169216251112120,7.22
MATH 15200,3,Autumn 2016,Sergei Sagatov,7.061360805503110,5.67
MATH 15200,3,Autumn 2014,Bowei Zheng,3.765449243755830,5.80
MATH 15200,3,Autumn 2015,Sergei Sagatov,4.409176106156280,8.67
MATH 15200,3,Autumn 2016,Jonathan Rubin,9.573333333333330,6.08
MATH 15200,3,Autumn 2014,Angela Wuu,4.508044452401100,5.40
MATH 15200,3,Autumn 2015,Daniel Johnstone,7.849340266475710,8.07
MATH 15200,4,Winter 2015,Teruhisa Koshikawa,4.811522090575700,4.33
MATH 15200,4,Winter 2016,Nir Gadish,5.621202666927070,3.29
MATH 15200,4,Winter 2015,Georgios Sakellaris,5.075198392031770,7.00
MATH 15200,5,Winter 2017,Daniel Campos Salas,7.263685632445810,5.21
MATH 15200,5,Autumn 2015,Georgios Sakellaris,5.18065913677495,5.56
MATH 15200,5,Autumn 2017,Reid Harris,8.039696091834300,5.07
ARTH 26384,1,Spring 2020,Diana Schwartz Francisco,9.75,N/A
HIST 12700,1,Autumn 2020,Robert Kendrick,8.563479426562440,N/A
HIST 12700,1,Winter 2015,Anne W Robertson,6.876460607276250,4.93
HIST 12700,1,Winter 2016,Anne W Robertson,7.734754229990390,3.40
HIST 12700,1,Winter 2017,Katarzyna Grochowska,6.307990987494050,4.63
HIST 12700,1,Autumn 2019,Robert Kendrick,9.288,N/A
ENST 23807,1,Autumn 2020,Teresa Montoya,9.728,N/A
STAT 22810,1,Autumn 2019,Diane Lauderdale,9.563,N/A
FREN 12001,1,Autumn 2020,Rebecca Anne Petrush,9.934000000000000,N/A
FREN 12001,1,Autumn 2019,Rebecca Anne Petrush,N/A,N/A
ARTV 24201,1,Spring 2016,Scott Wolniak,8.41055683053509,4.67
ARTV 24201,1,Autumn 2016,Scott Wolniak,9.656666666666670,5.88
ARTV 24201,1,Winter 2020,Scott Wolniak,8.859282522043730,N/A
ARTV 24201,1,Winter 2021,Scott Wolniak,7.316559004710710,N/A
SSAD 21100,1,Autumn 2019,Nicole Marwell,9.298,N/A
PERS 10102,1,Winter 2016,Saeed Ghahremani,7.335000000000000,4.17
PERS 10102,1,Winter 2021,Michelle Quay,9.75,N/A
PERS 10102,1,Winter 2017,Saeed Ghahremani,9.085,5.70
PERS 10102,1,Winter 2018,Saeed Ghahremani,7.915,4.33
PERS 10102,1,Winter 2019,Saeed Ghahremani,7.715,4.83
ANTH 21306,1,Spring 2017,James W Fernandez,9.601111111111110,7.19
ANTH 21306,1,Spring 2020,James W Fernandez,4.118137711345260,N/A
BUSN 20100,1,Autumn 2020,Wendy Heltzer,6.700015616186210,N/A
BUSN 20100,1,Winter 2020,Charles McClure,7.637427159101030,N/A
BUSN 20100,1,Spring 2020,John Barrios,4.437545646171660,N/A
BUSN 20100,1,Winter 2021,Maximilian Muhn,6.165570822076420,N/A
BUSN 20100,1,Autumn 2019,Jonathan Bonham,5.268612475135830,N/A
BUSN 20100,2,Autumn 2020,Wendy Heltzer,8.179907312294040,N/A
BUSN 20100,2,Winter 2020,Charles McClure,7.484756375619750,N/A
BUSN 20100,2,Spring 2020,John Barrios,5.50229483715821,N/A
BUSN 20100,2,Winter 2021,Maximilian Muhn,6.851880087878160,N/A
BUSN 20100,2,Autumn 2019,Jonathan Bonham,5.850629813258910,N/A
BUSN 20100,3,Winter 2020,Thomas Rauter,9.48548813941751,N/A
BUSN 20100,3,Winter 2021,Jonathan Bonham,6.122462904135620,N/A
BUSN 20100,3,Spring 2020,Rimmy Tomy,6.455415075854290,N/A
BUSN 20100,3,Autumn 2019,Jonathan Bonham,5.31761989727756,N/A
BUSN 20100,4,Winter 2020,Thomas Rauter,9.807,N/A
BUSN 20100,4,Winter 2021,Jonathan Bonham,5.453179318944270,N/A
BUSN 20100,4,Spring 2020,Rimmy Tomy,5.550277320903720,N/A
BUSN 20100,5,Winter 2021,Jonathan Bonham,5.637722619719150,N/A
HIPS 18501,1,Winter 2020,Michael Paul Rossi,9.546,N/A
ANTH 20702,1,Winter 2016,Jennifer Cole,9.144444444444450,6.34
ANTH 20702,1,Spring 2017,Jennifer Cole,7.187575379253180,5.23
ANTH 20702,1,Winter 2020,Katie Hickerson,6.4678130817660600,N/A
ARCH 20252,1,Spring 2020,Terry N Clark,9.558,N/A
CMST 28201,1,Spring 2017,Judy Hoffman,9.84888888888889,6.00
MATH 13100,1,Autumn 2014,Ian Frankel,2.6847156132296900,7.50
MATH 13100,1,Autumn 2015,Drew Moore,7.928828765871440,3.11
MATH 13100,1,Autumn 2019,Meghan Anderson,6.847858224119210,N/A
MATH 13100,2,Autumn 2014,Yan He,4.453754134726690,5.28
MATH 13100,2,Autumn 2015,Oishee Banerjee,4.440513691634500,6.40
MATH 13100,2,Autumn 2015,Yan He,6.65083950630557,4.91
MATH 13100,2,Autumn 2016,Gong Chen,6.06789574217224,3.56
MATH 13100,2,Autumn 2017,Oishee Banerjee,9.18,3.58
MATH 13100,2,Autumn 2015,Benjamin Seeger,8.26303984389279,5.20
MATH 13100,4,Autumn 2015,Ngoc Hoang Minh Pham,4.475506183723420,4.42
MATH 13100,4,Autumn 2017,Mariya Sardarli,5.648087238701400,7.26
MATH 13100,4,Autumn 2015,Zhouli Xu,4.48626394518329,5.83
MATH 13100,4,Autumn 2016,Oishee Banerjee,8.15132192990944,4.83
MATH 13100,4,Autumn 2017,Ronno Das,4.749534796211280,6.31
MATH 13100,4,Autumn 2014,Benjamin Fehrman,9.246790950368940,3.45
MATH 13100,4,Autumn 2016,Reid Harris,6.170803167299190,4.96
MATH 13100,4,Autumn 2015,Giang Tran,7.151179172087060,6.00
MATH 13100,5,Autumn 2014,Robin Walters,5.101761259178820,5.71
MATH 13100,5,Autumn 2015,Yiwen Zhou,7.511057916635310,4.57
MATH 28130,1,Autumn 2020,Alexander Razborov,9.48,N/A
MATH 28130,1,Autumn 2019,Alexander Razborov,7.586024688666650,N/A
LLSO 29060,1,Winter 2021,David Lyons,9.464,N/A
BIOS 13111,1,Spring 2020,Eric C Larsen,N/A,N/A
SOSC 19022,9,Autumn 2014,Arnaud Coulombel,8.97875,11.67
SOSC 19022,9,Autumn 2016,Arnaud Coulombel,5.994719575731160,21.67
SOSC 19022,9,Autumn 2019,Arnaud Coulombel,5.868276667289370,N/A
MATH 27100,2,Winter 2018,Robert A Fefferman,9.768333333333330,8.58
MATH 27100,2,Winter 2021,Kornelia Hera,6.089901039295170,N/A
CHIN 22120,1,Winter 2020,Meng Li,9.670000000000000,N/A
CHIN 22120,1,Winter 2021,Meng Li,5.97074415721734,N/A
ARCH 18606,1,Autumn 2020,Zhenru Zhou,9.416,N/A
LING 20201,0,Winter 2015,Martina Martinovic,8.428047763579310,6.74
LING 20201,0,Winter 2016,Amy Dahlstrom,6.4735827195339600,4.03
LING 20201,1,Winter 2021,Amy Dahlstrom,5.626766060278000,N/A
LING 20201,1,Autumn 2019,Adam Singerman,9.582000000000000,N/A
LING 20201,1,Winter 2017,Julian Grove,5.3143458713803000,5.71
SPAN 10200,1,Autumn 2020,Katherine Thompson,7.361945425187410,N/A
SPAN 10200,1,Autumn 2014,Darcy Lear,N/A,6.29
SPAN 10200,1,Autumn 2015,Michael Mccarron,N/A,6.50
SPAN 10200,1,Autumn 2018,James Leon Weber,N/A,6.38
SPAN 10200,1,Spring 2016,Irena Cajkova,N/A,5.67
SPAN 10200,1,Winter 2015,Susana Ines Perez Alonso,N/A,4.33
SPAN 10200,1,Winter 2016,Maria Lozada Cerna,N/A,8.67
SPAN 10200,1,Winter 2020,Katherine Thompson,N/A,N/A
SPAN 10200,1,Winter 2021,Katherine Thompson,5.362107940860750,N/A
SPAN 10200,1,Spring 2020,Lidwina Van Den Hout,6.507136148371330,N/A
SPAN 10200,1,Autumn 2019,Katherine Thompson,N/A,N/A
SPAN 10200,1,Autumn 2016,Katherine Thompson,N/A,5.00
SPAN 10200,1,Autumn 2017,Veronica Moraga Guerra,N/A,4.82
SPAN 10200,1,Spring 2017,Irena Cajkova,N/A,8.78
SPAN 10200,1,Spring 2018,Irena Cajkova,N/A,8.00
SPAN 10200,1,Spring 2019,Laura Colaneri,N/A,5.72
SPAN 10200,1,Winter 2017,Katherine Thompson,N/A,5.89
SPAN 10200,1,Winter 2018,Katherine Thompson,N/A,9.00
SPAN 10200,1,Winter 2019,Darcy Lear,N/A,5.50
SPAN 10200,2,Autumn 2020,Juliano Saccomani,6.445917172573680,N/A
SPAN 10200,2,Autumn 2014,Michael Mccarron,N/A,5.00
SPAN 10200,2,Autumn 2015,Helena Mateos Fernandez,N/A,3.60
SPAN 10200,2,Autumn 2018,James Leon Weber,N/A,5.67
SPAN 10200,2,Winter 2015,Christina Erikson,N/A,5.00
SPAN 10200,2,Winter 2016,Darcy Lear,N/A,7.78
SPAN 10200,2,Winter 2020,Meriam Pacheco Salazar,N/A,N/A
SPAN 10200,2,Winter 2021,Lizette Arellano,9.287628386119050,N/A
SPAN 10200,2,Autumn 2019,Diana Palenzuela Rodrigo,N/A,N/A
SPAN 10200,2,Autumn 2016,Katherine Thompson,N/A,4.06
SPAN 10200,2,Autumn 2017,Janet Sedlar,N/A,6.00
SPAN 10200,2,Winter 2017,Helena Mateos Fernandez,N/A,4.33
SPAN 10200,2,Winter 2018,Jonathan Amato,N/A,4.90
SPAN 10200,2,Winter 2019,Alba Girons Masot,N/A,7.04
SPAN 10200,3,Autumn 2020,Irena Cajkova,7.264722696807600,N/A
SPAN 10200,3,Autumn 2015,Irena Cajkova,N/A,5.06
SPAN 10200,3,Winter 2015,Hilda Larrazabal Cardenas,N/A,4.71
SPAN 10200,3,Winter 2016,Jorge Lefevre,N/A,5.89
SPAN 10200,3,Winter 2020,Darcy Lear,N/A,N/A
SPAN 10200,3,Winter 2021,Veronica Moraga Guerra,3.994289020991010,N/A
SPAN 10200,3,Autumn 2019,James Leon Weber,N/A,N/A
SPAN 10200,3,Autumn 2016,Darcy Lear,N/A,4.71
SPAN 10200,3,Autumn 2017,Darcy Lear,N/A,7.20
SPAN 10200,3,Autumn 2018,Darcy Lear,N/A,4.82
SPAN 10200,3,Winter 2017,Felipe Rojas,N/A,6.14
SPAN 10200,3,Winter 2018,Katherine Thompson,N/A,5.61
SPAN 10200,3,Winter 2019,Krizia Laureano-Ruiz,N/A,7.00
SPAN 10200,4,Autumn 2020,Darcy Lear,9.9,N/A
SPAN 10200,4,Autumn 2018,Darcy Lear,N/A,4.61
SPAN 10200,4,Winter 2015,David Reher,N/A,6.80
SPAN 10200,4,Winter 2016,Felipe Rojas,N/A,4.72
SPAN 10200,4,Winter 2020,Pablo Ottonello,N/A,N/A
SPAN 10200,4,Winter 2021,Maria Lozada Cerna,6.578379173169040,N/A
SPAN 10200,4,Autumn 2019,James Leon Weber,N/A,N/A
SPAN 10200,4,Autumn 2016,Irena Cajkova,N/A,4.50
SPAN 10200,4,Autumn 2017,Ebenezer Concepcion,N/A,5.50
SPAN 10200,4,Winter 2017,Hilda Larrazabal Cardenas,N/A,4.55
SPAN 10200,4,Winter 2018,Katrina Powers,N/A,4.20
SPAN 10200,4,Winter 2019,Irena Cajkova,N/A,6.11
SPAN 10200,5,Autumn 2020,Darcy Lear,5.190749903028230,N/A
SPAN 10200,5,Autumn 2018,James Leon Weber,N/A,4.25
SPAN 10200,5,Winter 2015,Ebenezer Concepcion,N/A,4.50
SPAN 10200,5,Winter 2016,Michael Mccarron,N/A,5.80
SPAN 10200,5,Winter 2020,Rosa Larra,N/A,N/A
SPAN 10200,5,Autumn 2019,James Leon Weber,N/A,N/A
SPAN 10200,5,Winter 2017,Hilda Larrazabal Cardenas,N/A,5.53
SPAN 10200,5,Winter 2018,Katrina Powers,N/A,4.80
SPAN 10200,5,Winter 2019,Laura Colaneri,N/A,4.07
SPAN 10200,6,Winter 2015,Maria Lozada Cerna,N/A,5.80
SPAN 10200,6,Winter 2016,Michael Mccarron,N/A,6.17
SPAN 10200,6,Winter 2021,Luis Alberto Madrigal Perez,6.058457869146740,N/A
SPAN 10200,6,Autumn 2019,Janet Sedlar,N/A,N/A
SPAN 10200,6,Winter 2017,"Hilda Larrazabal Cardenas,Helena Mateos Fernandez",N/A,4.58
SPAN 10200,6,Winter 2018,Amaia Gabantxo Uriagereka,N/A,3.91
SPAN 10200,6,Winter 2019,Irena Cajkova,N/A,5.50
SPAN 10200,7,Winter 2019,Irena Cajkova,N/A,5.60
ENGL 28775,1,Autumn 2020,Kris Trujillo,9.686,N/A
NEHC 21215,1,Spring 2020,Stuart Creason,9.7,N/A
HIST 15604,1,Spring 2015,Nadine Moeller,7.452603852242940,3.27
HIST 15604,1,Spring 2016,Oren Siegel,7.5877013483932200,3.67
HIST 15604,1,Spring 2017,Nadine Moeller,9.61222222222222,3.29
HIST 15604,1,Spring 2020,Brian Muhs,4.962622467931030,N/A
BIOS 20196,1,Autumn 2019,"Eric C Larsen,Catherine Pfister",N/A,N/A
ITAL 20100,1,Autumn 2020,Veronica Vegna,10.0,N/A
ITAL 20100,1,Autumn 2015,Veronica Vegna,N/A,6.50
ITAL 20100,1,Autumn 2018,Veronica Vegna,N/A,3.25
ITAL 20100,1,Autumn 2016,Maria Rafalson,N/A,5.78
ITAL 20100,1,Autumn 2017,Veronica Vegna,N/A,6.63
ITAL 20100,1,Autumn 2019,Veronica Vegna,N/A,N/A
ITAL 20100,2,Autumn 2020,Veronica Vegna,6.326087518416090,N/A
ITAL 20100,2,Autumn 2014,Chiara Montanari,N/A,4.50
ITAL 20100,2,Autumn 2015,Veronica Vegna,N/A,4.38
ITAL 20100,2,Autumn 2016,Clelia Masciello,N/A,4.29
ITAL 20100,2,Autumn 2017,Veronica Vegna,N/A,3.40
ITAL 20100,2,Autumn 2018,Veronica Vegna,N/A,8.79
ITAL 20100,2,Autumn 2019,Veronica Vegna,N/A,N/A
LACS 28000,1,Autumn 2020,Ramon Gutierrez,6.2799495441826900,N/A
LACS 28000,1,Autumn 2015,Ramon Gutierrez,3.818946204531100,4.33
LACS 28000,1,Autumn 2016,Ramon Gutierrez,9.868888888888890,8.67
CMLT 26112,1,Winter 2021,Nisha Kommattam,9.85,N/A
CHEM 26100,1,Autumn 2020,David A Mazziotti,8.41576330928155,N/A
CHEM 26100,1,Autumn 2014,Ka Yee Lee,9.276666666666670,10.78
CHEM 26100,1,Autumn 2015,Ka Yee Lee,7.414987869849300,9.26
CHEM 26100,1,Autumn 2016,Gregory Engel,8.4412528340443,8.81
CHEM 26100,1,Autumn 2017,David A Mazziotti,9.668951874779950,8.81
CHEM 26100,1,Autumn 2019,Aaron Dinner,8.246306733617080,N/A
CHEM 32300,1,Winter 2018,Scott Snyder,9.945,9.14
ENGL 19205,1,Spring 2020,Alexis Chema,9.678000000000000,N/A
ANTH 25216,1,Autumn 2019,Mary Wilhoit,9.701,N/A
GNSE 29800,1,Autumn 2019,C. Snorton,9.602,N/A
ARCH 24196,1,Spring 2020,Andrew Schachman,9.5,N/A
FREN 23333,1,Autumn 2019,Isabelle Faton,9.909,N/A
GEOS 23900,1,Autumn 2020,David Archer,7.797540800984680,N/A
GEOS 23900,1,Autumn 2015,"David Archer,Albert Colman",9.515,4.22
GEOS 23900,1,Autumn 2016,"David Archer,Albert Colman",6.672322325831410,6.71
GEOS 23900,1,Autumn 2019,David Archer,6.724910615656670,N/A
REES 21300,1,Spring 2017,Nada Petkovic,9.972222222222220,4.75
LACS 29801,1,Autumn 2020,Diana Schwartz Francisco,10.0,N/A
LACS 29801,1,Autumn 2019,Diana Schwartz Francisco,8.52766371681416,N/A
ENGL 22817,1,Spring 2020,Malynne Sternstein,8.159071457913210,N/A
ENGL 22817,1,Winter 2015,Malynne Sternstein,9.345555555555560,4.43
ECON 24000,9,(2156) Summer 2015,Julio Elias,8.418317477096550,6.00
ECON 24000,9,(2206) Summer 2020,Julio Elias,10.0,N/A
ANTH 28505,1,Spring 2020,Raymond Hunter,9.794000000000000,N/A
ANTH 25906,1,Spring 2016,Kagan Arik,6.654739865637190,3.40
ANTH 25906,1,Spring 2020,Kagan Arik,9.54,N/A
ANTH 25720,1,Autumn 2019,Victoria Gross,9.635,N/A
ANTH 23910,1,Spring 2016,Bozena Shallcross,9.241111111111110,4.86
ARTV 23801,1,Autumn 2019,Scott Wolniak,6.2209196677786100,N/A
ARTV 23801,1,Autumn 2015,Scott Wolniak,9.36375,4.75
